dataset,video_id,plot_path,gt_supportable_count,gt_uncertain_count,gt_unsupportable_count,final_pi_count,valley_cut_count,high_unmarked_peak_count,low_marked_segment_count
UCF-Crime,Explosion029_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0048_UCF-Crime_Explosion029_x264.png,1,0,0,2,0,0,3
UCF-Crime,Explosion033_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0049_UCF-Crime_Explosion033_x264.png,2,0,0,2,0,0,2
UCF-Crime,Explosion035_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0050_UCF-Crime_Explosion035_x264.png,1,0,0,3,0,0,7
UCF-Crime,Explosion036_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0051_UCF-Crime_Explosion036_x264.png,1,0,0,4,0,0,6
UCF-Crime,Explosion039_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0052_UCF-Crime_Explosion039_x264.png,1,0,0,1,0,0,4
UCF-Crime,Explosion043_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0053_UCF-Crime_Explosion043_x264.png,1,0,0,8,0,0,7
UCF-Crime,Fighting003_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0054_UCF-Crime_Fighting003_x264.png,1,0,0,3,0,0,10
UCF-Crime,Fighting018_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0055_UCF-Crime_Fighting018_x264.png,1,0,0,1,0,0,1
UCF-Crime,Fighting033_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0056_UCF-Crime_Fighting033_x264.png,1,0,0,2,0,0,0
UCF-Crime,Fighting042_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0057_UCF-Crime_Fighting042_x264.png,1,0,0,2,0,0,1
UCF-Crime,Fighting047_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0058_UCF-Crime_Fighting047_x264.png,1,0,0,5,0,0,3
UCF-Crime,RoadAccidents001_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0059_UCF-Crime_RoadAccidents001_x264.png,1,0,0,1,0,0,2
UCF-Crime,RoadAccidents002_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0060_UCF-Crime_RoadAccidents002_x264.png,0,1,0,1,0,0,0
UCF-Crime,RoadAccidents004_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0061_UCF-Crime_RoadAccidents004_x264.png,0,1,0,0,0,0,0
UCF-Crime,RoadAccidents009_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0062_UCF-Crime_RoadAccidents009_x264.png,0,0,1,3,0,0,4
UCF-Crime,RoadAccidents010_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0063_UCF-Crime_RoadAccidents010_x264.png,0,1,0,0,0,0,0
UCF-Crime,RoadAccidents011_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0064_UCF-Crime_RoadAccidents011_x264.png,0,1,0,1,0,0,0
UCF-Crime,RoadAccidents012_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0065_UCF-Crime_RoadAccidents012_x264.png,1,0,0,1,0,0,2
UCF-Crime,RoadAccidents016_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0066_UCF-Crime_RoadAccidents016_x264.png,1,0,0,1,1,0,1
UCF-Crime,RoadAccidents017_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0067_UCF-Crime_RoadAccidents017_x264.png,1,0,0,0,0,0,0
UCF-Crime,RoadAccidents019_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0068_UCF-Crime_RoadAccidents019_x264.png,1,0,0,1,1,0,1
UCF-Crime,RoadAccidents020_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0069_UCF-Crime_RoadAccidents020_x264.png,1,0,0,0,0,0,0
UCF-Crime,RoadAccidents021_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0070_UCF-Crime_RoadAccidents021_x264.png,0,1,0,0,0,0,0
UCF-Crime,RoadAccidents022_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0071_UCF-Crime_RoadAccidents022_x264.png,1,0,0,2,0,0,0
UCF-Crime,RoadAccidents121_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0072_UCF-Crime_RoadAccidents121_x264.png,0,1,0,1,0,0,2
UCF-Crime,RoadAccidents122_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0073_UCF-Crime_RoadAccidents122_x264.png,0,1,0,0,0,0,0
UCF-Crime,RoadAccidents123_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0074_UCF-Crime_RoadAccidents123_x264.png,0,0,1,0,0,0,0
UCF-Crime,RoadAccidents124_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0075_UCF-Crime_RoadAccidents124_x264.png,1,0,0,1,0,0,2
UCF-Crime,RoadAccidents125_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0076_UCF-Crime_RoadAccidents125_x264.png,1,0,0,2,1,0,2
UCF-Crime,RoadAccidents127_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0077_UCF-Crime_RoadAccidents127_x264.png,0,0,1,2,2,0,3
UCF-Crime,RoadAccidents128_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0078_UCF-Crime_RoadAccidents128_x264.png,1,0,0,1,0,0,2
UCF-Crime,RoadAccidents131_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0079_UCF-Crime_RoadAccidents131_x264.png,0,1,0,1,0,0,5
UCF-Crime,RoadAccidents132_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0080_UCF-Crime_RoadAccidents132_x264.png,1,0,0,1,0,0,0
UCF-Crime,RoadAccidents133_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0081_UCF-Crime_RoadAccidents133_x264.png,1,0,0,1,0,0,2
UCF-Crime,Robbery048_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0082_UCF-Crime_Robbery048_x264.png,1,0,0,1,0,0,0
UCF-Crime,Robbery050_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0083_UCF-Crime_Robbery050_x264.png,1,0,0,0,0,0,0
UCF-Crime,Robbery102_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0084_UCF-Crime_Robbery102_x264.png,1,0,0,1,0,0,0
UCF-Crime,Robbery106_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0085_UCF-Crime_Robbery106_x264.png,0,0,1,1,0,0,3
UCF-Crime,Robbery137_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0086_UCF-Crime_Robbery137_x264.png,1,0,0,3,0,0,1
UCF-Crime,Shooting002_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0087_UCF-Crime_Shooting002_x264.png,1,0,0,1,0,0,1
UCF-Crime,Shooting004_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0088_UCF-Crime_Shooting004_x264.png,1,0,0,1,0,0,5
UCF-Crime,Shooting007_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0089_UCF-Crime_Shooting007_x264.png,1,0,0,0,0,0,0
UCF-Crime,Shooting008_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0090_UCF-Crime_Shooting008_x264.png,1,0,0,2,0,0,2
UCF-Crime,Shooting010_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0091_UCF-Crime_Shooting010_x264.png,0,0,1,1,0,0,0
UCF-Crime,Shooting011_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0092_UCF-Crime_Shooting011_x264.png,1,0,0,4,0,0,0
UCF-Crime,Shooting013_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0093_UCF-Crime_Shooting013_x264.png,0,1,0,1,0,0,0
UCF-Crime,Shooting015_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0094_UCF-Crime_Shooting015_x264.png,1,0,0,2,0,0,3
UCF-Crime,Shooting018_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0095_UCF-Crime_Shooting018_x264.png,1,0,0,2,0,0,1
UCF-Crime,Shooting019_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0096_UCF-Crime_Shooting019_x264.png,1,0,0,2,0,0,0
UCF-Crime,Shooting021_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0097_UCF-Crime_Shooting021_x264.png,1,0,0,0,0,0,0
UCF-Crime,Shooting022_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0098_UCF-Crime_Shooting022_x264.png,1,0,0,1,0,0,5
UCF-Crime,Shooting024_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0099_UCF-Crime_Shooting024_x264.png,1,0,0,1,1,0,2
UCF-Crime,Shooting026_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0100_UCF-Crime_Shooting026_x264.png,1,0,0,0,0,0,0
UCF-Crime,Shooting028_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0101_UCF-Crime_Shooting028_x264.png,1,0,0,2,0,0,4
UCF-Crime,Shooting032_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0102_UCF-Crime_Shooting032_x264.png,1,0,0,12,0,0,19
UCF-Crime,Shooting033_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0103_UCF-Crime_Shooting033_x264.png,1,0,0,2,0,0,6
UCF-Crime,Shooting034_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0104_UCF-Crime_Shooting034_x264.png,1,0,0,1,0,0,0
UCF-Crime,Shooting037_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0105_UCF-Crime_Shooting037_x264.png,0,1,0,0,0,0,0
UCF-Crime,Shooting043_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0106_UCF-Crime_Shooting043_x264.png,1,0,0,1,0,0,0
UCF-Crime,Shooting046_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0107_UCF-Crime_Shooting046_x264.png,2,0,0,7,0,0,0
UCF-Crime,Shooting047_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0108_UCF-Crime_Shooting047_x264.png,2,0,0,5,0,0,13
UCF-Crime,Shooting048_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0109_UCF-Crime_Shooting048_x264.png,1,0,0,2,0,0,3
UCF-Crime,Shoplifting001_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0110_UCF-Crime_Shoplifting001_x264.png,1,0,0,1,0,0,6
UCF-Crime,Shoplifting004_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0111_UCF-Crime_Shoplifting004_x264.png,1,0,0,1,0,0,2
UCF-Crime,Shoplifting005_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0112_UCF-Crime_Shoplifting005_x264.png,1,0,0,1,0,0,2
UCF-Crime,Shoplifting007_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0113_UCF-Crime_Shoplifting007_x264.png,0,0,2,3,0,0,3
UCF-Crime,Shoplifting010_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0114_UCF-Crime_Shoplifting010_x264.png,1,0,1,0,0,0,0
UCF-Crime,Shoplifting015_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0115_UCF-Crime_Shoplifting015_x264.png,0,0,1,0,0,0,0
UCF-Crime,Shoplifting016_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0116_UCF-Crime_Shoplifting016_x264.png,0,0,1,0,0,0,0
UCF-Crime,Shoplifting017_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0117_UCF-Crime_Shoplifting017_x264.png,0,1,0,1,0,0,2
UCF-Crime,Shoplifting020_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0118_UCF-Crime_Shoplifting020_x264.png,1,0,0,6,0,0,11
UCF-Crime,Shoplifting021_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0119_UCF-Crime_Shoplifting021_x264.png,1,0,0,1,0,0,4
UCF-Crime,Shoplifting022_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0120_UCF-Crime_Shoplifting022_x264.png,0,1,1,2,0,0,0
UCF-Crime,Shoplifting027_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0121_UCF-Crime_Shoplifting027_x264.png,1,0,1,2,0,0,4
UCF-Crime,Shoplifting028_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0122_UCF-Crime_Shoplifting028_x264.png,1,0,0,2,1,0,5
UCF-Crime,Shoplifting029_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0123_UCF-Crime_Shoplifting029_x264.png,1,0,0,3,0,0,6
UCF-Crime,Shoplifting031_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0124_UCF-Crime_Shoplifting031_x264.png,0,0,1,0,0,0,0
UCF-Crime,Shoplifting033_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0125_UCF-Crime_Shoplifting033_x264.png,0,0,1,1,0,0,0
UCF-Crime,Shoplifting034_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0126_UCF-Crime_Shoplifting034_x264.png,0,0,1,3,0,0,5
UCF-Crime,Shoplifting037_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0127_UCF-Crime_Shoplifting037_x264.png,0,1,0,1,0,0,1
UCF-Crime,Shoplifting039_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0128_UCF-Crime_Shoplifting039_x264.png,1,0,0,0,0,0,0
UCF-Crime,Shoplifting044_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0129_UCF-Crime_Shoplifting044_x264.png,0,0,1,10,0,0,34
UCF-Crime,Shoplifting049_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0130_UCF-Crime_Shoplifting049_x264.png,0,0,1,2,0,0,6
UCF-Crime,Stealing019_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0131_UCF-Crime_Stealing019_x264.png,0,2,0,2,0,0,0
UCF-Crime,Stealing036_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0132_UCF-Crime_Stealing036_x264.png,1,0,0,0,0,0,0
UCF-Crime,Stealing058_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0133_UCF-Crime_Stealing058_x264.png,1,0,0,3,0,0,0
UCF-Crime,Stealing062_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0134_UCF-Crime_Stealing062_x264.png,1,0,0,0,0,0,0
UCF-Crime,Stealing079_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0135_UCF-Crime_Stealing079_x264.png,2,0,0,0,0,0,0
UCF-Crime,Vandalism007_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0136_UCF-Crime_Vandalism007_x264.png,1,0,0,0,0,0,0
UCF-Crime,Vandalism015_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0137_UCF-Crime_Vandalism015_x264.png,1,0,0,4,0,0,6
UCF-Crime,Vandalism017_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0138_UCF-Crime_Vandalism017_x264.png,0,2,0,2,0,0,0
UCF-Crime,Vandalism028_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0139_UCF-Crime_Vandalism028_x264.png,2,0,0,2,2,0,5
UCF-Crime,Vandalism036_x264,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0140_UCF-Crime_Vandalism036_x264.png,1,0,1,1,0,0,2
XD-Violence,Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0141_XD-Violence_Bad.Boys.1995___01-11-55_01-12-40_label_G-B2-B6.png,2,2,0,1,0,0,0
XD-Violence,Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0142_XD-Violence_Bad.Boys.1995___01-33-51_01-34-37_label_B2-0-0.png,1,1,0,1,0,0,0
XD-Violence,Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0143_XD-Violence_Bad.Boys.II.2003___00-06-42_00-10-00_label_B2-G-0.png,2,1,0,3,0,8,0
XD-Violence,Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0144_XD-Violence_Black.Hawk.Down.2001___01-13-59_01-14-49_label_B2-0-0.png,1,0,0,2,0,0,0
XD-Violence,Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0145_XD-Violence_Black.Hawk.Down.2001___01-32-40_01-34-00_label_B4-0-0.png,4,0,0,4,0,0,0
XD-Violence,Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0,outputs/26-07-08-11-15-low-fp-visualization/outputs/low_fp_visualizations/0146_XD-Violence_Black.Hawk.Down.2001___01-42-58_01-43-58_label_G-0-0.png,1,0,0,1,0,0,0
